"   ","MANU_ID","STACKING_REC_NUM","PICK_NUM","ORDER_NUM","COMPANY_CODE","READY_NUM","TRNP_MODE_CODE","CARRY_COMPANY_CODE","CARRY_COMPANY_NAME","N_STACKING_REC","WEIGHT_STRC","PRODUCT_DSCR","SHOPSIGN","DOMESTIC_EXPORT","STOREHOUSE_CODE","LADE_CODE","DLV_SPOT_CODE","PRIVATE_ROUTE_CODE","DLV_SPOT_NAME","CONSIGNEE_NUM","CONSIGNEE_NAME","SETTLE_USER_NUM","SETTLE_USER_NAME","QLT_DECIDE_CODE","VEHICLE_CODE","N_GRASS_PACK","DELIVERY_DATE_CHR","T_DELIVERY","DEPT","USER_ID","OPERATOR_NAME","PRODUCT_CODE_FB1","PRODUCT_CODE_FB2","PRODUCT_CODE_FB3","EXPENSE_STATUS","WEIGHT_THEO","WEIGHT_TYPE","STACKING_TYPE","CODE_ALL_THR_READY","STIN_STHS_CODE","TIME_RECEIVE","TIME_PROC","PROC_MARK","ERROR_TEXT1","ERROR_TEXT2","STACKING_PRINT_BATCH_ID","WS_FLAG","WS_DATE","SEG_NO","PROC_MARK_SEG","PRODUCT_ID","WPROVIDER_ID","INSERT_TIME","DOWNLOADFLAG","OPTFLAG","PRODUCT_ADRESS","SHOPSGIN","OWNER_NUM","DEPTID","TRANS_COMMISSION_SUBID","PAY_STYLE","GETFLAG","SETTLE_FLAG","SOURCE_SEG_NO","OPERATION_TYPE","R_JK_UPDATE_DATE"
"562","BGSA","BGSA150110000002I5J0000244","BGSAB1501100008","I5J0000244","DS","I865000041","BGSAT1501100008","","","15","196000","热轧卷","Q460C","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","196000","0","","","","2015/1/10 0:03:04","2015/1/9 15:56:41","","*0*C","C","","0","","10000","","I5J0000244","001518002","2015/1/10 0:03:04","0","1","","","BGGF","0101","","","","","00100","10","2015/1/10 20:16:59"
"563","BGSA","BGSA150110000002I5J0000242","BGSAB1501100008","I5J0000242","DS","I865000039","BGSAT1501100008","","","15","196000","热轧卷","Q460C","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","196000","0","","","","2015/1/10 0:03:04","2015/1/9 15:56:41","","*0*C","C","","0","","10000","","I5J0000242","001518002","2015/1/10 0:03:04","0","1","","","BGGF","0101","","","","","00100","10","2015/1/10 20:11:41"
"564","BGSA","BGSA150110000002I5J0000240","BGSAB1501100008","I5J0000240","DS","I865000037","BGSAT1501100008","","","15","196000","热轧卷","IF-1","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","196000","0","","","","2015/1/10 0:03:04","2015/1/9 15:56:41","","*0*C","C","","0","","10000","","I5J0000240","001518002","2015/1/10 0:03:04","0","1","","","BGGF","0101","","","","","00100","10","2015/1/10 20:13:11"
"565","BGSA","BGSA150110000002I5J0000235","BGSAB1501100008","I5J0000235","DS","I865000034","BGSAT1501100008","","","15","196000","热轧卷","SS330","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","196000","0","","","","2015/1/10 0:03:04","2015/1/9 15:56:41","","*0*C","C","","0","","10000","","I5J0000235","001518002","2015/1/10 0:03:04","0","1","","","BGGF","0101","","","","","00100","10","2015/1/10 20:19:08"
"566","BGSA","BGSA150115002808I5J0000639","BGSAB1501151321","I5J0000639","DS","H865000063","BGSAT1501151072","","","5","63000","热轧卷","IF-1","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","63000","0","","","","2015/1/15 22:03:02","2015/1/15 13:56:14","","*0*C","C","","0","","10000","","I5J0000639","001518002","2015/1/15 22:03:02","0","1","","","BGGF","0101","","","","","00100","10","2015/1/16 13:38:27"
"567","BGSA","BGSA150115002808I5J0000637","BGSAB1501151321","I5J0000637","DS","H865000061","BGSAT1501151072","","","5","63000","热轧卷","SPHC","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","63000","0","","","","2015/1/15 22:03:02","2015/1/15 13:56:14","","*0*C","C","","0","","10000","","I5J0000637","001518002","2015/1/15 22:03:02","0","1","","","BGGF","0101","","","","","00100","10","2015/1/16 13:36:33"
"568","BGSA","BGSA150115002808I5J0000636","BGSAB1501151321","I5J0000636","DS","H865000060","BGSAT1501151072","","","5","63000","热轧卷","SPHC","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","63000","0","","","","2015/1/15 22:03:02","2015/1/15 13:56:14","","*0*C","C","","0","","10000","","I5J0000636","001518002","2015/1/15 22:03:02","0","1","","","BGGF","0101","","","","","00100","10","2015/1/16 13:35:53"
"569","BGSA","BGSA150115002808I5J0000635","BGSAB1501151321","I5J0000635","DS","H865000059","BGSAT1501151072","","","5","63000","热轧卷","IF-1","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","63000","0","","","","2015/1/15 22:03:03","2015/1/15 13:56:14","","*0*C","C","","0","","10000","","I5J0000635","001518002","2015/1/15 22:03:03","0","1","","","BGGF","0101","","","","","00100","10","2015/1/16 13:35:28"
"570","BGSA","BGSA150114001266I5J0000408","BGSAB1501140550","I5J0000408","DS","I865000105","BGSAT1501140411","","","30","374000","热轧卷","SS330","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","374000","0","","","","2015/1/14 12:18:10","2015/1/14 4:11:28","","*0*C","C","","0","","10000","","I5J0000408","001518002","2015/1/14 12:18:10","0","1","","","BGGF","0101","","","","","00100","10","2015/1/20 13:30:11"
"571","BGSA","BGSA150114001266I5J0000410","BGSAB1501140550","I5J0000410","DS","I865000107","BGSAT1501140411","","","30","374000","热轧卷","Q460C","","","","","","","","上海钢铁交易中心有限公司","","","","","0","","","001518002","","system","","","","","374000","0","","","","2015/1/14 12:18:10","2015/1/14 4:11:28","","*0*C","C","","0","","10000","","I5J0000410","001518002","2015/1/14 12:18:10","0","1","","","BGGF","0101","","","","","00100","10","2015/1/20 13:32:35"
