"   ","PROCESSID","PROCTYPE","PROCMATERIALDTLID","PROCARTICLEDTLID","GOODSID","PACKNUM","NETWEIGHT","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","DEPTID","R_RECORD_CHANGE_FLAG","SHEETNUM","GRADENUM"
"23","0114030611","加工                  ","14adacdc93104da7aaba2cb0c4096323","78e14b8a6fff49d09cd5feaba3db9883","C392B0AC65CA4843B8613C433D74FC5B","A131007222S-01","29.4500","2014/3/31 13:02:40","100006","","","0","0101","0","1.0000","2.75*1500*0"
"24","0114030611","加工                  ","28b555634bb644fbab8bb1dedc434b88","b98796883f094a52ad0f6ea427326406","8BB7BA87C5D241E1821D8692F568C4BF","A131021572S-01","29.4800","2014/3/31 13:02:40","100006","","","0","0101","0","1.0000","2.75*1500*0"
"25","0114030612","加工                  ","2fb722542a7741f48d110493dba46cae","9292d9813f3048cc8dc78173a76022d9","5A012E7CCA6545959DC31ABAE571C13E","A140256112S-01","21.6400","2014/3/31 13:03:32","100006","","","0","0101","0","1.0000","7.75*1500*0"
"26","0114030613","加工                  ","4b5988c2c0a948a69f8b007ed5c157a2","ac72cd513c8541b2b35bb8c6efae5815","61FD9E846D8A4F40BDCE9C343EE97424","3F04M06200-01","18.5100","2014/3/31 13:05:53","100006","","","0","0101","0","1.0000","6*1250*0"
"27","0114030615","加工                  ","d615475539f74d96bda536814c4c552b","48f6b88361c14cc2bcf9df1e32b779ea","86A713A7222F43F18D2E309FC842C9DE","40128303180-01","29.1200","2014/3/31 15:19:28","100006","","","0","0101","0","1.0000","3*1480*0"
"28","0114030615","加工                  ","c42f8ce3602f4f649b29160fb5c5cb32","a2fa6749c72644d680dfeca3804fa8a8","5F9A8C116D7144C0B16F44BEA0E356F5","40128303110-01","29.0100","2014/3/31 15:19:28","100006","","","0","0101","0","1.0000","3*1480*0"
"29","0114030615","加工                  ","aa94eacc2f3342fea4636d44f6f93a7d","8c9e14cad5d34f19a7a92b2b14a16e76","669DA6302B824A3A86B5DB07D8CFCE3B","40128303080-01","29.1800","2014/3/31 15:19:28","100006","","","0","0101","0","1.0000","3*1480*0"
"30","0114030615","加工                  ","d8c4e03707114f808b4e054afc80c729","bd003ffb2d2c4eaa8ecca2fffe2c22d6","80E70A551F7546A6B1A39FB5D1BA3CEF","40128303100-01","29.0800","2014/3/31 15:19:28","100006","","","0","0101","0","1.0000","3*1480*0"
"31","0114030615","加工                  ","5ab592f8fa6f4757b8f6dcb276f49fbd","2c0dcfd3ff8444378a824d8b0166aedd","86E4D9E386EF4F36994B9D8D5FEB871F","40128301120-01","29.1500","2014/3/31 15:19:28","100006","","","0","0101","0","1.0000","3*1480*0"
"32","0114030616","加工                  ","62a6a10e884448c79e56c37782dbf56f","507f6a5dfae14aa397d6a903eb30f4f8","AE74E46F34D94C18BB311C7FB84C417A","140205541S-01","17.8890","2014/3/31 15:20:18","100006","","","0","0101","0","1.0000","7*1100*0"
"33","0114030617","加工                  ","4bf83eecca184a4dad1683ff7554c4b4","4a9db34b6334456d80ff8e65946aca41","9CCF9690D0AE48B2B2E291FDB383019D","D140203967P-01","22.4900","2014/3/31 15:21:16","100006","","","0","0101","0","1.0000","2*1500*0"
"34","0114030618","加工                  ","656195540a75499e8b78c438fbb01ae9","2278dff440514993b336e4bbebf86d9c","6E077733DCF84F9D9C3BC5D37884BFCF","A140201681S-03-01","14.9000","2014/3/31 15:23:12","100006","","","0","0101","0","1.0000","6.75*1500*0"
"35","0114030621","加工                  ","198d84031c16431ca31474820065803c","7f96ccedaa8c4d77adaf78fca60f9216","88AE69505BA046888C37AC71F6E1AA6C","D140225391S-01","22.4800","2014/3/31 16:22:11","100006","","","0","0101","0","1.0000","4.25*1500*0"
"36","0114030623","加工                  ","80f414c81e494218826b7e66c4ed8c1e","63165fa1c5984a95b5d1b1cb9dffc13f","6B528FDF489B44EA9223F7C701C39243","D140212781S-01","22.5000","2014/3/31 16:23:05","100006","","","0","0101","0","1.0000","4.75*1500*0"
"37","0114030624","加工                  ","d0ccbf102a7547fd9b6dd394f4cd0dca","fdb2eb885d3244c9b07420e1d091ef02","BE4BDD5099984E0FB449D4C8D70237FC","D140225875S-01","22.3700","2014/3/31 16:27:05","100002","","","0","0101","0","180.0000","4.5*1500*2340"
"38","0114030626","加工                  ","201d2b6bf857457eacc621ccbfa4f4d8","9a4179d6f26049a19cb8271d1229368e","9741BA843CED43C0BA56F417E00D38F5","H3580443-01","28.8100","2014/3/31 16:35:13","100006","","","0","0101","0","1.0000","5.5*1500*0"
"39","0114030629","加工                  ","c56bffc9b55d4dd6a44c9b32747b9fc7","b07139143c2447de8073b23f6801e221","CAEDBC009E214487BFC48D98ECAD9468","114170601400-01","22.8600","2014/3/31 17:32:22","100002","","","0","0101","0","291.0000","2*1250*4000"
"40","0114030630","加工                  ","f5fa968298a4466ba839864bc7d4b516","c52651a661294988956018ffa78510e4","28E117B78051479AAB01C9F58850CFBD","3240L02020-01","19.9700","2014/3/31 19:15:02","100060","","","0","0101","0","75.0000","7.5*1500*2996"
"41","0114030631","加工                  ","d2bc4efcc25a40c4af7ef9e177207229","bbb8438ff3db405ead428ec5f9496f48","968BD5666DA5483AAC1C2A111D76063D","K140258132S-01","29.3100","2014/3/31 19:17:11","100060","","","0","0101","0","101.0000","2.75*1500*9000"
"42","0114030632","加工                  ","e043c3efaa784da5b103e143ed9f3d14","4e378f9d65de440fae22a28cbd2829c5","4FB2A028D7AD4AF7971CF8BB556A7ABC","140301191S-01","19.6300","2014/3/31 20:01:56","100060","","","0","0101","0","160.0000","5*1250*2500"
"43","0114030633","加工                  ","65260f7230db42b3beba89da059266c7","5a951d4363af41689fe3cae3b2f5b6ad","3E54658175B04317B5CFEC663776645F","40217601050-01","27.2000","2014/3/31 20:02:41","100060","","","0","0101","0","103.0000","3.75*1500*5998"
"44","0114030634","加工                  ","8de994d966f84157ae885e0f1dc5c8f6","d6d9647605c24374b4f500fd659210df","F319398CC0A84C05BFB49DB789F88374","X131114143P-01","19.0700","2014/3/31 21:05:11","100060","","","0","0101","0","518.0000","1.5*1250*2500"
"45","0114030635","加工                  ","102b0111c80b42fbbee1ef748ea92e0c","1586340397114bf09c017a13ab196b49","B077A7B5E0C14112852367350E075C73","H131223501D-01","22.5700","2014/3/31 21:06:04","100060","","","0","0101","0","153.0000","2.5*1250*6000"
"46","0114030636","加工                  ","bcf44b8d64524447864556bd0f1e37f9","28632955a7ba488f9d4bc017e9940eb7","7CC269C7637D4370BB6A2748069B447C","1114004559-01","20.7600","2014/3/31 21:06:53","100060","","","0","0101","0","676.0000","1.8*1250*1740"
"47","0114040001","加工                  ","5aaead9eff7341148b588c88f3fd988f","986924743e964c55ae287d6159208f54","a124d902fe984d088da93cf9711b2eb4","C460752300-01","28.2300","2014/4/1 9:02:15","100006","","","0","0101","0","1.0000","11.75*1500*0"
"48","0114040002","加工                  ","8d62f28e9b6940cb88cde6c8cabf39ca","95333cebc7fc428191a187fe1f9b02f5","a66d0a619d38496e8efc2213cdf5d661","R3040359A060-01","19.8500","2014/4/1 9:04:33","100006","","","0","0101","0","1.0000","1.5*1000*0"
"49","0114040003","加工                  ","fa8bb626a4db4eb299665c6b39e5ee08","8f1ce904d6724624858ea546cd9cabf5","01f9cdac6864451a95700eae68c14b4e","R4003407A010-01","20.6100","2014/4/1 9:10:37","100006","","","0","0101","0","1.0000","3*1215*0"
"50","0114040003","加工                  ","21640832a3a346fdb9f128ca5e523a83","1051c564e8ea48df820a941814ad387c","1b808e48714e483e9b926f3bee38dff7","R4003407A040-01","20.5800","2014/4/1 9:10:37","100006","","","0","0101","0","1.0000","3*1215*0"
"51","0114040003","加工                  ","f28d4d2f17604e2998d3e74f0bb9ead4","91ede6da3d5c446aa3ca04943e5e955e","3dc40e8f5eee4113933a43c8642d4962","R4003408A020-01","20.6900","2014/4/1 9:10:37","100006","","","0","0101","0","1.0000","3*1215*0"
"52","0114040004","加工                  ","19e5481d1b074a93a68801a694502764","1e0f9328b60049f9a969e45551150183","E39390222B9D4B53BDF5555C222AECF3","140231753S-01","19.1460","2014/4/1 10:20:51","100006","","","0","0101","0","1.0000","3.25*1250*0"
"53","0114040006","加工                  ","4d726551a5074df099df61d2414d0b40","5263a54f6a6c4c268bf3880ad037fc75","DC66F86A7C70407AB60D8202024DD016","D140223693P-01","19.5700","2014/4/1 10:41:15","100006","","","0","0101","0","1.0000","1.5*1250*0"
"54","0114040008","加工                  ","cd127f3ea1244b2f9b58068298ccbfcf","f562a6d947664798905c331a3293e2c3","899B026B17684E8FB69B2D4DA5DD6B47","H131221533D-01","18.3600","2014/4/1 11:17:17","100006","","","0","0101","0","1.0000","3.25*1250*0"
"55","0114040009","加工                  ","255dbe8cad7f436e8cac288670729478","4c1a06f155a84ff2a0b8884424c8fb5b","D09003D910CF4D7EAD568B55A674BCB9","R4059400600-01","22.7600","2014/4/1 11:28:21","100002","","","0","0101","0","102.0000","8*1360*2620"
"56","0114040009","加工                  ","3118bd48b0324b729d6785a80f7b94c6","a040584e1740423cb2442e3a6418c368","45B21370844145608BF0F75A3FC10555","R4059400501-01","22.4400","2014/4/1 11:28:21","100002","","","0","0101","0","100.0000","8*1360*2620"
"57","0114040012","加工                  ","a6279136a5684a229cebb85182f7dd23","1a80e4f3c13342318224b9474b4708bf","2D80A83A423A4748A7D0055518A6B645","140215386S-01","19.6400","2014/4/1 12:01:12","100006","","","0","0101","0","1.0000","2.75*1250*0"
"58","0114040012","加工                  ","2a21f99ca9d94505b9a262fad5676953","597900f20f634ce0a151c1fad9cc6991","B5285DD17C8D43208E60507B15ED791A","A140175921S-01","19.6500","2014/4/1 12:01:12","100006","","","0","0101","0","1.0000","2.75*1250*0"
"59","0114040012","加工                  ","dbbe2b841f7045c788194b5383a5af0a","8610ab5652f2470b9b057c44d7944d8a","3D30F39BD50D478CA0CB301DB5BD72AB","A140178795S-01","19.6500","2014/4/1 12:01:12","100006","","","0","0101","0","1.0000","2.75*1250*0"
"60","0114040012","加工                  ","ec5b8d5ecee14d65be6a639bc0cfd1f0","1fe229799d9a4f36924f7153e06faa19","73CCD856C3804E36BE89821897B2A49E","A140178793S-01","19.6800","2014/4/1 12:01:12","100006","","","0","0101","0","1.0000","2.75*1250*0"
"61","0114040042","加工                  ","b2c34f94492d40ccbf41fc0c9f86a710","14850814d3ee4beeaa014f8bc95fcf7e","F5C1E7C441A2498EAA28980EFC77A833","A140255711S-01","21.9900","2014/4/1 14:49:32","100006","","","0","0101","0","1.0000","4.5*1500*0"
"62","0114040043","加工                  ","165543b285a54a58bf15829ab0141327","0e13e50fd3f5474b99abcbbc5d4d4185","6CDC1F1F22B043BAA7ED7F75F73F5DC4","A140246501S-01","2.5430","2014/4/1 14:50:48","100006","","","0","0101","0","24.0000","6.5*余料"
"63","0114040043","加工                  ","165543b285a54a58bf15829ab0141327","1b5d80f45a5f43c6ba08ac7ee7912cd0","6CDC1F1F22B043BAA7ED7F75F73F5DC4","A140246501S-02","20.0070","2014/4/1 14:50:48","100006","","","0","0101","0","1.0000","4.5*1500*2000"
"64","0114040043","加工                  ","a97a2ebebca64edd97dca673141f0f05","0caa6b2dcee34b47b69e1db133a206ac","7705DC2157F2421780D14E4182CD7FBC","A140258661S-01","4.1330","2014/4/1 14:50:48","100006","","","0","0101","0","27.0000","6.5*1500*2000"
"65","0114040043","加工                  ","a97a2ebebca64edd97dca673141f0f05","3406a0b3613d4d799f2a6623654dc2ab","7705DC2157F2421780D14E4182CD7FBC","A140258661S-02","18.1370","2014/4/1 14:50:48","100006","","","0","0101","0","1.0000","6.5*余料"
"66","0114040044","加工                  ","75e5238943e74f0f813604a922fd779a","7e55bd72d12e44d5aa1f8be8250569b7","1A87E106FFD7484697B0A2BAB4916C71","D140313431D-01","22.5000","2014/4/1 14:59:22","100006","","","0","0101","0","1.0000","6*1500*0"
"67","0114040045","加工                  ","8f487d30363d463cbf464ff047094cbc","36e3695bdf9c4a5e8bbd93548ed4c9d6","8B1A055F7DBD4854BE13950C3540409B","A140221992S-03-01","25.0000","2014/4/1 15:00:10","100006","","","0","0101","0","1.0000","3*1800*0"
"68","0114040046","加工                  ","13ba4f80635f48f4bacbc772ef7e29b6","f19575f7ed4a47bbb40ab88d7848fb02","C1B4F55055CD478AB13072708B58161B","1114004563-01","20.6700","2014/4/1 15:02:57","100006","","","0","0101","0","1.0000","1.8*1250*0"
"69","0114040052","加工                  ","3239f379c0024870bc73888ba1343d1f","2a88400af6e645c3984540da16a95472","21F08918887640EDB4F22E25797212A8","K140250241S-01","29.7400","2014/4/1 15:31:09","100006","","","0","0101","0","1.0000","3*1500*0"
