"   ","OWNER_NUM","MANU_ID","CONTRACT_ITEM_NUM","RESOURCE_NUM","INPUT_STACKING_NUM","PICK_NUM","PACK_NUM","UNIT_WEIGHT","WEIGHT_THEO","N_PACK","TIME_RECEIVE","TIME_PROC","PROC_MARK","ERROR_TEXT1","ERROR_TEXT2","WS_FLAG","WS_DATE","SEG_NO","DEPTID","EXTSYSID","EXTSYSSTACKID","GRADE_NUM","DOWNLOADFLAG","LENGTH_PRODUCT","LENGTH_PRODUCT_MAX","LENGTH_PRODUCT_MIN","HEAT_NUM","TEST_LOT_NUM","OPTFLAG","VEHICLE_CODE","PRODUCT_DSCR","SHOPSIGN","STACKING_WEIGHT","STACKING_COUNT","DELIVERY_DATE_CHR","M_CONTRACT_ITEM_NUM","SPEC1","SPEC3","SPEC5","PPFLAG","SCAN_FLAG"
"43","GM0","BGNA","TI15130700352","I3E0014286","F013032589","3F01307170801","85237705400","20.25","20.25","1","2013/7/18 11:38:45","","","","","0","","00100","0101","GM0","","2.9*1155*C","0","788087","788087","0","219486","","0","30717009&@梅盛1288","直发卷","HP295","60.96","3","20130718","TI15130700352","","","","0","0"
"44","GM0","BGNA","TI15130700352","I3E0014286","F013032589","3F01307170801","85237704200","20.37","20.37","1","2013/7/18 11:38:45","","","","","0","","00100","0101","GM0","","2.9*1155*C","0","791864","791864","0","219485","","0","30717009&@梅盛1288","直发卷","HP295","60.96","3","20130718","TI15130700352","","","","0","0"
"45","GM0","BGNA","TI15130700352","I3E0014286","F013032603","3F01307170801","85237704100","20.31","20.31","1","2013/7/18 11:38:44","","","","","0","","00100","0101","GM0","","2.9*1155*C","0","789674","789674","0","219485","","0","30717009&@梅盛1288","直发卷","HP295","40.61","2","20130718","TI15130700352","","","","0","0"
"46","GM0","BGNA","TI15130700352","I3E0014286","F013032603","3F01307170801","85237703900","20.3","20.3","1","2013/7/18 11:38:45","","","","","0","","00100","0101","GM0","","2.9*1155*C","0","789263","789263","0","219485","","0","30717009&@梅盛1288","直发卷","HP295","40.61","2","20130718","TI15130700352","","","","0","0"
"47","GM0","BGNA","TI15130700352","I3E0014286","F013032602","3F01307170801","85237704400","20.32","20.32","1","2013/7/18 11:38:45","","","","","0","","00100","0101","GM0","","2.9*1155*C","0","791524","791524","0","219485","","0","30717009&@梅盛1288","直发卷","HP295","20.32","1","20130718","TI15130700352","","","","0","0"
"48","GM0","BGNA","TI15130700328","I3E0014283","F013033416","3F01307230801","85324700602","14.34","14.34","1","2013/7/24 3:38:51","","","","","0","","00100","0101","GM0","","2.6*1250*C","0","562077","562077","0","219712","","0","30723011&@梅盛2006","直发卷","Q235D","14.34","1","20130724","TI15130700328","","","","0","0"
"49","GM0","BGNA","TI15130700328","I3E0014283","F013033000","3F01307201801","85324701200","25.04","25.04","1","2013/7/21 13:38:49","","","","","0","","00100","0101","GM0","","2.6*1250*C","0","1002889","1002889","0","219712","","0","30720007&@梅盛2008","直发卷","Q235D","49.99","2","20130721","TI15130700328","","","","0","0"
"50","GM0","BGNA","TI15130700328","I3E0014283","F013033000","3F01307201801","85324701100","24.95","24.95","1","2013/7/21 13:38:49","","","","","0","","00100","0101","GM0","","2.6*1250*C","0","1004760","1004760","0","219712","","0","30720007&@梅盛2008","直发卷","Q235D","49.99","2","20130721","TI15130700328","","","","0","0"
"51","GM0","BGNA","TI15130700328","I3E0014283","F013033001","3F01307201801","85324700300","24.95","24.95","1","2013/7/21 13:38:49","","","","","0","","00100","0101","GM0","","2.6*1250*C","0","1005809","1005809","0","219713","","0","30720007&@梅盛2008","直发卷","Q235D","49.77","2","20130721","TI15130700328","","","","0","0"
"52","GM0","BGNA","TI15130700328","I3E0014283","F013033001","3F01307201801","85324700400","24.82","24.82","1","2013/7/21 13:38:49","","","","","0","","00100","0101","GM0","","2.6*1250*C","0","1002280","1002280","0","219712","","0","30720007&@梅盛2008","直发卷","Q235D","49.77","2","20130721","TI15130700328","","","","0","0"
"53","GM0","BGNA","TI15130700328","I3E0014283","F013033016","3F01307201801","85324700800","24.94","24.94","1","2013/7/21 13:38:48","","","","","0","","00100","0101","GM0","","2.6*1250*C","0","1002910","1002910","0","219712","","0","30720007&@梅盛2008","直发卷","Q235D","49.79","2","20130721","TI15130700328","","","","0","0"
"54","GM0","BGNA","TI15130700328","I3E0014283","F013033016","3F01307201801","85324700500","24.85","24.85","1","2013/7/21 13:38:49","","","","","0","","00100","0101","GM0","","2.6*1250*C","0","1000982","1000982","0","219713","","0","30720007&@梅盛2008","直发卷","Q235D","49.79","2","20130721","TI15130700328","","","","0","0"
"55","GM0","BGNA","TI15130700323","I3E0014282","F013033017","3F01307201801","85324701800","24.9","24.9","1","2013/7/21 13:38:48","","","","","0","","00100","0101","GM0","","2.5*1250*C","0","1039728","1039728","0","219713","","0","30720007&@梅盛2008","直发卷","Q235D","74.65","3","20130721","TI15130700323","","","","0","0"
