"   ","GUID","DEPTID","DEPTNAME","BUSINESSNO","PRICE","PRE_PRICE","ACCOUNT_UNIT","FEE_TYPE_ID","FEE_TYPE_NAME","CONTRACT_DETAIL_ID","CONTRACT_DETAIL_DESCRIBE","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","R_RECORD_CHANGE_FLAG","PRICE2","MEMO","FINPRODUCTNAME"
"45","da299196252f439ea19f86500fab6544","0101","运输公司","CK1403310016","18.00","18.00","元/吨","001002","出库吊装费","9FE4852AA8134225848265E2FA54F880","出库吊装费 ","2014/3/31 16:44:00","100003","","","0","0","18.00","","废次材"
"46","bf2dc9b338174a8cba89d20a1cc4a8d4","0101","山西焦煤","CK1403310017","20.00","20.00","元/吨","001002","出库吊装费","7C0C256E31864C1992B491200B6494ED","一号库","2014/3/31 16:53:12","100003","","","0","0","18.00","","热轧卷"
"47","9edf110f301f4e7696614959bba569d4","0101","通用货主","CK1404010006","18.00","18.00","元/吨","001002","出库吊装费","C3B4E1B4ECC24DB0ACC129372A835A12","","2014/4/1 12:32:24","100003","","","0","0","0.00","",""
"48","b6e626f9e9584b17aafde622a1a5fe45","0101","运输公司","CK1404010006","20.00","0.00","元/吨","001004","加工费","cfc6fd1452b54873b2b791c7c938b721","","2014/4/1 12:32:24","100003","","","0","0","0.00","",""
"49","71e413b20db7431db15589c60632e666","0101","运输公司","CK1404010013","28.00","28.00","元/吨","001002","出库吊装费","A6B5005AD5704375819C887BC45333A0","","2014/4/1 14:15:16","100003","","","0","0","20.00","","普通线材"
"50","6d46b6d20dac483d9dcf66323e45a851","0101","运输公司","CK1404010035","18.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/1 21:17:39","1919","","","0","0","18.00","","螺纹钢"
"51","932fd31f7c4745f3895cf0d7f262378c","0101","运输公司","CK1404030037","18.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/3 18:34:27","1919","","","0","0","18.00","","螺纹钢"
"52","ebeec55abadb44b2bb565dc7b7848d9d","0101","上海鑫舟钰金属材料有限公司","CK1404030037","25.00","0.00","元/吨","001004","加工费","5cb6ab5135404588b8ef98a5baeef7e0","","2014/4/3 18:35:15","1919","","","0","0","0.00","",""
"53","084ce7b961364ebcae0f3db964815294","0101","运输公司","CK1404030041","15.00","15.00","元/吨","001002","出库吊装费","B40BA4A928A045A380FC9557EDDC40C1","","2014/4/3 19:57:12","1919","","","0","0","15.00","","方坯"
"54","5a3b6ee2a5e44110a502acee278ea66e","0101","运输公司","CK1404030043","18.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/3 20:22:45","1919","","","0","0","18.00","","螺纹钢"
"55","fe8ac5e49b8b45b59f358d34fde79033","0101","武汉宝钢华中","CK1404030044","10.00","10.00","元/吨","001002","出库吊装费","2BED314BBD0545939A61D3A2C0F7A254","","2014/4/3 20:31:03","1919","","","0","0","10.00","","热轧卷"
"56","7b9b0e02e7774fcdbb96a1373d0a14f1","0101","运输公司","CK1404030045","18.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/3 20:39:15","1919","","","0","0","18.00","","螺纹钢"
"57","a7f4f4438e9a49c5bb254bc4ab791214","0101","运输公司","CK1404040001","20.00","20.00","元/吨","001002","出库吊装费","A6B5005AD5704375819C887BC45333A0","","2014/4/4 3:52:46","1919","","","0","0","20.00","","普通线材"
"58","62315abb44434e349a89b1d0360fabf8","0101","运输公司","CK1404040003","18.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/4 8:31:15","100006","","","0","0","18.00","","螺纹钢"
"59","05864c471b704b2b9e897445b8cf2d55","0101","运输公司","CK1404020019","18.00","18.00","元/吨","001002","出库吊装费","C3B4E1B4ECC24DB0ACC129372A835A12","","2014/4/2 13:43:03","100002","","","0","0","18.00","","彩涂"
"60","f8be835fcf5d4ed5a46e7889501e5c0e","0101","通用货主","CK1404030008","18.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/3 11:51:18","100006","","","0","0","0.00","",""
"61","f32a06471b20440095d2420d1f3786b6","0101","运输公司","CK1404030009","35.00","35.00","元/吨","001004","加工费","A6D85D514CEF448086EBC706DAF7F4CA","不含码头费，3吨以下加5元（2.0-9.0）","2014/4/3 12:04:33","100002","","","0","0","35.00","","热轧卷"
"62","0791e88b88a54032bb4c7b3cd866544a","0101","运输公司","CK1404030010","25.00","0.00","元/吨","001004","加工费","59ac70916b3540c0a1bcd1e798132ade","","2014/4/3 12:12:13","100002","","","0","0","0.00","",""
"63","1b9841754935496f92559b16e2a21558","0101","运输公司","CK1404030012","18.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/3 12:56:48","100002","","","0","0","18.00","","螺纹钢"
"64","0d616891a50b4fe1b0fdf24ee07e0857","0101","运输公司","CK1403310011","18.00","18.00","元/吨","001002","出库吊装费","9FE4852AA8134225848265E2FA54F880","出库吊装费 ","2014/3/31 15:21:12","100003","","","0","0","18.00","","废次材"
"65","8a74d3d7d56d4168bf19feca7a6126e0","0101","通用货主","CK1404040006","18.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/4 9:58:53","1818","","","0","0","0.00","",""
"66","d3eafcc76b2a45038c6cee1be92cb21d","0101","运输公司","CK1404040006","25.00","0.00","元/吨","001004","加工费","cf636d1b7e1749ecab5468f497438c19","","2014/4/4 9:58:53","1818","","","0","0","0.00","",""
"67","bea5840783274875b32e9ac4face53f0","0101","运输公司","CK1404040009","18.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/4 12:24:59","1818","","","0","0","18.00","","螺纹钢"
"68","c2babef1d4ae41bcb529ef90f60c7b19","0101","运输公司","CK1404040010","18.00","28.00","元/吨","001002","出库吊装费","C3B4E1B4ECC24DB0ACC129372A835A12","","2014/4/4 12:35:31","1818","","","0","0","28.00","","彩涂"
"69","a98ce0af979647a49ea6e5cd34079a07","0101","运输公司","CK1404040011","18.00","28.00","元/吨","001002","出库吊装费","C3B4E1B4ECC24DB0ACC129372A835A12","","2014/4/4 12:37:53","1818","","","0","0","28.00","","彩涂"
"70","b44d86ab2ea243bbafcacfa63cd56d99","0101","通用货主","CK1404040016","18.00","18.00","元/吨","001002","出库吊装费","C3B4E1B4ECC24DB0ACC129372A835A12","","2014/4/4 14:06:07","1818","","","0","0","0.00","",""
"71","73e7de853ab84da2864976b46a6cf6a3","0101","运输公司","CK1404040016","20.00","0.00","元/吨","001004","加工费","9617a2b6986140869cdb58c8af4688b8","","2014/4/4 14:06:07","1818","","","0","0","0.00","",""
"72","7ad6a017ea114f8f9fdb1ad9c60e9150","0101","山西焦煤","CK1403310024","18.00","18.00","元/吨","001002","出库吊装费","7C0C256E31864C1992B491200B6494ED","一号库","2014/3/31 18:14:30","100060","","","0","0","18.00","","热轧卷"
"73","4d363d23ae2047bf8d9ce85376a2dd47","0101","山西焦煤","CK1403310025","18.00","18.00","元/吨","001002","出库吊装费","7C0C256E31864C1992B491200B6494ED","一号库","2014/3/31 18:19:17","100060","","","0","0","18.00","","热轧卷"
"74","2fe024e99f804ee280fd79c0c4dae0fb","0101","运输公司","CK1404010030","23.50","23.50","元/吨","001002","出库吊装费","A6B5005AD5704375819C887BC45333A0","","2014/4/1 19:23:14","1919","","","0","0","20.00","","普通线材"
"75","17014702291948329bc0267d86b18bed","0101","运输公司","CK1404010031","18.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/1 19:27:49","1919","","","0","0","18.00","","螺纹钢"
"76","fe0e025365e944e0b1e8332d1b6f1d4f","0101","运输公司","CK1404030006","20.00","20.00","元/吨","001002","出库吊装费","A6B5005AD5704375819C887BC45333A0","","2014/4/3 11:20:13","1818","","","0","0","20.00","","普通线材"
"77","33d142d278fc4280a1c66192d73707b8","0101","浙江宏厚","CK1404030014","18.00","18.00","元/吨","001002","出库吊装费","E172DB0A29F74A56AD59656A07837EF2","一号库出库, 免仓储过户费","2014/4/3 13:21:21","100002","","","0","0","18.00","","热轧卷"
"78","9aee87bb41794121b0ada8ba06e5c640","0101","通用货主","CK1404040020","18.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/4 15:59:12","100003","","","0","0","0.00","",""
"79","3b332a54759a46a9812d1c5c8b626023","0101","运输公司","CK1404040020","25.00","0.00","元/吨","001004","加工费","42061ab21cf84f1b96424f02cbad84c4","","2014/4/4 15:59:12","100003","","","0","0","0.00","",""
"80","c80bbe008b1b42059621a9881be65df1","0101","通用货主","CK1404040024","20.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/4 18:26:34","100060","","","0","0","0.00","",""
"81","b34b518e66554ed682fa72216673db59","0101","运输公司","CK1404040024","0.00","0.00","元/吨","001004","加工费","8d874b4234c04e66b9ff613ddc0456f4","","2014/4/4 18:26:34","100060","","","0","0","0.00","",""
"82","08d048b5e4b146e9bb687c005ffd5a03","0101","运输公司","CK1404040026","18.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/4 19:01:00","100060","","","0","0","18.00","","螺纹钢"
"83","c9a0ae7a57a241f2b9d1c9446453dfcc","0101","运输公司","CK1403310038","18.00","18.00","元/吨","001002","出库吊装费","9FE4852AA8134225848265E2FA54F880","出库吊装费 ","2014/3/31 21:44:37","100060","","","0","0","18.00","","废次材"
"84","07c41927a93249e7bf58d033856719a1","0101","山西焦煤","CK1404010003","20.00","20.00","元/吨","001002","出库吊装费","7C0C256E31864C1992B491200B6494ED","一号库","2014/4/1 8:54:36","1818","","","0","0","18.00","","热轧卷"
"85","b2488b3c42d14c5aaf9eda1bfd823228","0101","运输公司","CK1404010040","18.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/1 22:37:11","1919","","","0","0","18.00","","螺纹钢"
"86","bb2e32cd3ddf4f31a68b8b5a54898c6d","0101","运输公司","CK1404010045","18.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/1 23:24:02","1919","","","0","0","18.00","","螺纹钢"
"87","129902dbe5d447b4a21c28022b3da0c1","0101","沈阳宝钢东北","CK1404010048","23.50","23.50","元/吨","001002","出库吊装费","57578600A7DA4298A9B6CB00FC1ABDD6","","2014/4/1 23:37:00","1919","","","0","0","20.00","","宽厚板"
"88","3429809e46ca47e2826b4d653df4cb38","0101","运输公司","CK1404020028","18.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/2 16:34:44","100002","","","0","0","18.00","","螺纹钢"
"89","989d1254573c4863858ac1258daace6c","0101","运输公司","CK1404040017","20.00","20.00","元/吨","001002","出库吊装费","A6B5005AD5704375819C887BC45333A0","","2014/4/4 15:47:39","1818","","","0","0","20.00","","普通线材"
"90","1335434bb84d4d68a2950425bb486666","0101","运输公司","CK1404040019","18.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/4 15:55:39","1818","","","0","0","18.00","","螺纹钢"
"91","f5e8ac682a74481ebb93fee8060e973f","0101","武汉宝钢华中","CK1404040022","10.00","10.00","元/吨","001002","出库吊装费","2BED314BBD0545939A61D3A2C0F7A254","","2014/4/4 16:58:33","100003","","","0","0","10.00","","热轧卷"
"92","228668dc203449589ab3ba1ac72d3a05","0101","运输公司","CK1404040024","18.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/4 18:26:07","100060","","","0","0","18.00","","螺纹钢"
"93","2b216962c90e4e299d573fec11f777e2","0101","通用货主","CK1403310004","18.00","18.00","元/吨","001002","出库吊装费","9FE4852AA8134225848265E2FA54F880","出库吊装费 ","2014/3/31 13:21:33","100002","","","0","0","0.00","",""
"94","8a751090e9414d0fba16574cf6481915","0101","运输公司","CK1403310004","25.00","0.00","元/吨","001004","加工费","853693083be14fe8ba3410933480e1f3","","2014/3/31 13:21:33","100002","","","0","0","0.00","",""
"95","82f126c2a5f446ee9861885e2a8d94be","0101","运输公司","CK1404020007","18.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/2 9:22:07","100003","","","0","0","18.00","","螺纹钢"
"96","85c8bf5c18314739957b0026eacc4f99","0101","通用货主","CK1404020008","18.00","18.00","元/吨","001002","出库吊装费","9EF2A8BC8B78473DB8BF3A4CF2EBDD5B","","2014/4/2 9:29:20","100006","","","0","0","0.00","",""
"97","246f0db654ca48149d170e04bcf44d27","0101","运输公司","CK1404020008","30.00","0.00","元/吨","001004","加工费","fee9301f06804f688b4326fcdf4f38dc","","2014/4/2 9:29:20","100006","","","0","0","0.00","",""
"98","dbad4dccab3b4b99b427f2955467e949","0101","武汉宝钢华中","CK1404020047","10.00","10.00","元/吨","001002","出库吊装费","2BED314BBD0545939A61D3A2C0F7A254","","2014/4/2 19:38:02","100060","","","0","0","10.00","","热轧卷"
"99","a544be31c9f74c0aaa05da0b2618dbf6","0101","武汉宝钢华中","CK1404020052","10.00","10.00","元/吨","001002","出库吊装费","2BED314BBD0545939A61D3A2C0F7A254","","2014/4/2 19:46:00","100060","","","0","0","10.00","","热轧卷"
