"   ","WPROVIDER_ID","PROVIDER_NAME","VOUCHER_NUM","FACTORY_PRODUCT_ID","PUTOUT_WEIGHT","PUTOUT_PRICE","OTHER_PRICE","PUTOUT_AMOUNT","STORE_PRICE","PROD_TYPE_DESC","SHOPSIGN","SPEC","PUTOUT_DATE","CLIENT_FEE_FLAG","FEE_SETTLE_TYPE","CONTRACT_SUBID","INOUTDOOR_FLAG","DEPTID","OWNER_NUM","SEG_NO","REPORT_MONTH"
"62","P01087","上海宝钢运输有限公司（一号库）","DC090801044","A9H0001333","23.520000","15.000000","0.000000","352.800000","0.000000","模具用钢板坯","BPD25","185*1600*4000-10000*切边*BJTB08-002 BPD25","2009-08-06","10","出库费","X090700058005","","0101","SM","00101","200908"
"63","P01087","上海宝钢运输有限公司（一号库）","DC090801045","A9H0001338","10.479000","15.000000","0.000000","157.190000","0.000000","模具用钢板坯","BPD25","125*1600*4000-10000*切边*BJTB08-002 BPD25","2009-08-06","10","出库费","X090700063005","","0101","SM","00101","200908"
"64","P01087","上海宝钢运输有限公司（一号库）","DC090505176","A9H0000435","237.560000","15.000000","0.000000","3563.400000","0.000000","氧气瓶用方坯","30CrMo","205*205*4000-10000*切边*BBJTT05-004 30CrMo","2009-05-31","10","出库费","X090200968002","","0101","SM","00101","200905"
"65","P01087","上海宝钢运输有限公司（一号库）","DC090505182","A9H0000437","237.420000","15.000000","0.000000","3561.300000","0.000000","氧气瓶用方坯","30CrMo","205*205*4000-10000*切边*BBJTT05-004 30CrMo","2009-05-31","10","出库费","X090200968004","","0101","SM","00101","200905"
"66","P01087","上海宝钢运输有限公司（一号库）","DC090501003","A9H0000712","219.140000","15.000000","0.000000","3287.100000","0.000000","锻件用钢板坯","20","400*1200*4000-10000*切边*BJTB05-006 20","2009-05-08","10","出库费","X090400355001","","0101","SM","00101","200905"
"67","P01087","上海宝钢运输有限公司（一号库）","DC090801046","A9H0001338","12.481000","15.000000","0.000000","187.220000","0.000000","模具用钢板坯","BPD25","125*1600*4000-10000*切边*BJTB08-002 BPD25","2009-08-06","10","出库费","X090700063005","","0101","SM","00101","200908"
"68","P01087","上海宝钢运输有限公司（一号库）","DC090801048","A9H0001299","24.380000","15.000000","0.000000","365.700000","0.000000","模具用钢板坯","P20","185*1600*4000-10000*切边*Q/BQB 135 P20","2009-08-06","10","出库费","X090700042010","","0101","SM","00101","200908"
"69","P01087","上海宝钢运输有限公司（一号库）","DC090700897","A9H0001093","95.360000","15.000000","0.000000","1430.400000","0.000000","锻件用钢板坯","16Mn(TM)","250*1200*4000-10000*切边*BJTB04-016 16Mn(TM)","2009-07-06","10","出库费","X090600157001","室外","0101","SM","00101","200907"
"70","P01087","上海宝钢运输有限公司（一号库）","DC090700898","A9H0001201","237.440000","15.000000","0.000000","3561.600000","0.000000","锻件用钢板坯","P280GH","400*400*4000-10000*切边*BJTT05-006 P280GH","2009-07-06","10","出库费","X090600328001","室外","0101","SM","00101","200907"
"71","P01087","上海宝钢运输有限公司（一号库）","DC090700074","A9H0000937","145.440000","15.000000","0.000000","2181.600000","0.000000","锻件用钢板坯","16Mn(TM)","400*1200*4000-10000*切边*BJTB04-016 16Mn(TM)","2009-07-01","10","出库费","X090500517001","室外","0101","SM","00101","200907"
