"   ","MANAGENO","DEPTID","BARCODE","PACKNUM","NEWGOODSLOCID","GOODSLOCID","COLLECTDATE","INDATE","OPERATETYPE","STATE","COLLECTIONMANNO","COLLECTIONMANNAME","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","OPERATESTATE","R_RECORD_CHANGE_FLAG","BATCHNO","UPSTATE","PLY","PLYORDER","PPFLAG","GMPACKTYPE","GRADENUM","BUSINESSNO"
"42","309c4e1d55de41bd9ddbdec5e31994a8","0101","R4268605501","R4268605501","","IB1422","2015/1/2 6:07:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:14","100060","2015/1/2 8:19:48","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"43","0cf2027878fb40b49311e43b045cf231","0101","R4269703101","R4269703101","","IB1412","2015/1/2 6:08:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:14","100060","2015/1/2 8:20:24","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"44","5aa41271e24b436dac9e15e20fa161b1","0101","R4268605401","R4268605401","","IA1911","2015/1/2 6:09:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:14","100060","2015/1/2 8:19:48","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"45","f18243adf0e74f229ecafc567c325e0b","0101","R4267602601","R4267602601","","IB1131","2015/1/2 6:11:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:14","100060","2015/1/2 8:19:16","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"46","fb7e1e969a5f4b248a05595addea818c","0101","R4267602701","R4267602701","","IB1121","2015/1/2 6:13:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:14","100060","2015/1/2 8:19:16","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"47","6cccb8d442f94cfa9e461718478071e1","0101","R4268605101","R4268605101","","IB1132","2015/1/2 6:14:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:14","100060","2015/1/2 8:19:16","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"48","204ecc47d802495c9e7319c27d836248","0101","R4267704701","R4267704701","","IB1111","2015/1/2 6:16:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:14","100060","2015/1/2 8:19:16","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"49","ef6c98d139144f988c831eb9d4ff0e56","0101","R4268701201","R4268701201","","DF2111","2015/1/2 6:20:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:14","100060","2015/1/2 8:18:06","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"50","8285f846e1174daaa348206eae63d6a3","0101","R4268800201","R4268800201","","IA1811","2015/1/2 6:21:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:14","100060","2015/1/3 9:46:05","100003","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"51","b520a7b4d698402fa2ce82b08e84b085","0101","R4268704801","R4268704801","","CB2842","2015/1/2 6:24:00","2015/1/2 7:16:41","0","0","017       ","Â³°®ºì","2015/1/2 7:03:14","100060","","","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"52","e1a84cc0efc246bc8edbd0e9f0fca877","0101","R4270502301","R4270502301","","CB2822","2015/1/2 6:25:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:14","100060","2015/1/2 8:14:16","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"53","2938ebe361634d75a785f62504d0b6df","0101","R4270603001","R4270603001","","CB2841","2015/1/2 6:26:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:14","100060","2015/1/2 8:15:40","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"54","caf0058499e346c9a2972f2aac9f2882","0101","R4270505001","R4270505001","","CB2852","2015/1/2 6:27:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:14","100060","2015/1/2 8:15:40","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"55","0f46853a219f474f82d8d4643d4cf854","0101","R4265600101","R4265600101","","CB1812","2015/1/2 6:28:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:14","100060","2015/1/2 8:16:54","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"56","5907b182a16c4d76ae40e18f9da1c3ee","0101","R4268603501","R4268603501","","CB1852","2015/1/2 6:45:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:14","100060","2015/1/2 8:16:23","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"57","3bfb6ce6bb4a4a5cb62285872c2bdee8","0101","R4265704701","R4265704701","","IA1821","2015/1/2 6:47:00","2015/1/2 7:16:41","0","1","017       ","Â³°®ºì","2015/1/2 7:03:14","100060","2015/1/2 8:18:39","1818","0","","0","2231b6838cbc440fb99eeebe53655f01","","0","0","0","","",""
"58","1c4ccd9592234cd8a7e762cd057d7de3","0101","114119400702","1114027331","","JB1132","2014/12/30 20:45:00","2014/12/31 7:35:11","0","1","002       ","ÖÜÑ©Üß","2014/12/31 7:27:02","100006","2014/12/31 8:36:44","100003","0","","0","1223a2be93c64204b508de7f57faed2a","","0","0","0","","",""
"59","5e7ed03e26984c3e8fac94820cd70cb9","0101","1232207117024","D141012281D","","IA1521","2014/12/31 19:52:00","2015/1/1 7:43:54","0","1","018       ","ÕÅÖ¾·Ò","2015/1/1 7:35:25","100060","2015/1/1 9:39:12","100002","0","","0","ddff02b246da4b46b2e7fa90a84a2e9b","","0","0","0","","",""
"60","fb65eee38c8a48698e59e69e1d2b21ab","0101","1232207117017","D141200821P","","IB3131","2014/12/31 19:55:00","2015/1/1 7:43:54","0","1","018       ","ÕÅÖ¾·Ò","2015/1/1 7:35:25","100060","2015/1/1 9:37:25","100002","0","","0","ddff02b246da4b46b2e7fa90a84a2e9b","","0","0","0","","",""
