"   ","OWNER_NUM","CONTRACT_ITEM_NUM","INPUT_STACKING_NUM","PICK_NUM","RESOURCE_NUM","PRODUCT_DSCR","SHOPSIGN","STACKING_WEIGHT","WEIGHT_THEO","STACKING_COUNT","DELIVERY_DATE_CHR","DEPT_ID","EXTSYSID","EXTSYSSTACKID","OPTFLAG","INSERT_TIME","TIME_RECEIVE","ZY_INSERT_TIME","DEPTID","DOWNLOADFLAG","VEHICLE_CODE","RED_STACKING_DATE","PRODUCT_ADRESS","TRANS_COMMISSION_SUBID","GETFLAG","CONSIGNEE_NUM","CONSIGNEE_NAME","SETTLE_FLAG"
"37","GM0","TI15130700348","F073018675","3F07307202701","I3E0014284","直发卷","Q235D","58.55","0","2","20130721","00","GM0","00100","0","2013/7/21 13:37:24","2013/7/21 13:37:24","2013/7/21 13:37:24","0101","0","30720007&@梅盛2008","0","梅钢公司热轧厂","TC13072900023015","","000425","上海宝钢钢材贸易有限公司",""
"38","GM0","TI15130700348","F073018676","3F07307202701","I3E0014284","直发卷","Q235D","29.12","0","1","20130721","00","GM0","00100","0","2013/7/21 13:37:24","2013/7/21 13:37:24","2013/7/21 13:37:24","0101","0","30720007&@梅盛2008","0","梅钢公司热轧厂","TC13072900023015","","000425","上海宝钢钢材贸易有限公司",""
"39","GM0","TI15130700328","F013033224","3F01307220101","I3E0014283","直发卷","Q235D","24.97","0","1","20130722","00","GM0","00100","0","2013/7/22 16:37:11","2013/7/22 16:37:11","2013/7/22 16:37:11","0101","0","30722001&@梅盛2199","0","梅钢公司热轧厂","TC13072900023010","","000425","上海宝钢钢材贸易有限公司",""
"40","GM0","TI15130700321","F073019346","3F07307260401","I3E0014281","直发卷","Q235D","28.66","0","1","20130727","00","GM0","00100","0","2013/7/27 11:37:16","2013/7/27 11:37:16","2013/7/27 11:37:16","0101","0","30726008&@梅盛1801","0","梅钢公司热轧厂","TC13072900022006","","000425","上海宝钢钢材贸易有限公司",""
"41","GM0","TI15130700321","F073019353","3F07307260401","I3E0014281","直发卷","Q235D","28.86","0","1","20130727","00","GM0","00100","0","2013/7/27 11:37:18","2013/7/27 11:37:18","2013/7/27 11:37:18","0101","0","30726008&@梅盛1801","0","梅钢公司热轧厂","TC13072900022006","","000425","上海宝钢钢材贸易有限公司",""
"42","GM0","TI15130700323","F013033047","3F01307210201","I3E0014282","直发卷","Q235D","173.95","0","7","20130721","00","GM0","00100","0","2013/7/21 15:36:57","2013/7/21 15:36:57","2013/7/21 15:36:57","0101","0","30721003&@梅盛1999","0","梅钢公司热轧厂","TC13072900023003","","000425","上海宝钢钢材贸易有限公司",""
"43","GM0","TI15130700328","F013033019","3F01307201801","I3E0014283","直发卷","Q235D","24.86","0","1","20130721","00","GM0","00100","0","2013/7/21 15:36:59","2013/7/21 15:36:59","2013/7/21 15:36:59","0101","0","30720007&@梅盛2008","0","梅钢公司热轧厂","TC13072900023008","","000425","上海宝钢钢材贸易有限公司",""
"44","GM0","TI15130700321","F073018682","3F07307210101","I3E0014281","直发卷","Q235D","58.35","0","2","20130721","00","GM0","00100","0","2013/7/21 15:37:04","2013/7/21 15:37:04","2013/7/21 15:37:04","0101","0","30721003&@梅盛1999","0","梅钢公司热轧厂","TC13072900022004","","000425","上海宝钢钢材贸易有限公司",""
"45","GM0","TI15130700348","F073018689","3F07307210101","I3E0014284","直发卷","Q235D","58.38","0","2","20130721","00","GM0","00100","0","2013/7/21 15:37:04","2013/7/21 15:37:04","2013/7/21 15:37:04","0101","0","30721003&@梅盛1999","0","梅钢公司热轧厂","TC13072900023016","","000425","上海宝钢钢材贸易有限公司",""
"46","GM0","TI15130700321","F073018693","3F07307210101","I3E0014281","直发卷","Q235D","29.18","0","1","20130721","00","GM0","00100","0","2013/7/21 15:37:05","2013/7/21 15:37:05","2013/7/21 15:37:05","0101","0","30721003&@梅盛1999","0","梅钢公司热轧厂","TC13072900022004","","000425","上海宝钢钢材贸易有限公司",""
