"   ","MANAGEID","DEPTID","DEPTNAME","PARENTDEPTID","PARENTDEPTNAME","SYSVERSION","USERPCID","LOGINIP","USERID","USERNAME","LASTLOGINTIME","LASTLOGOUTTIME","R_RECORD_CREATE_DATE","R_RECORD_CREATE_USER","R_RECORD_UPDATE_DATE","R_RECORD_UPDATE_USER","R_RECORD_IS_DELETED","LOGINIPSERVICE","LOGINMAC"
"71","c9521abedeb64cdfb6f4182ecfd376f3","0101","宝钢运输公司一号库","","","1.1.0.0427","68674ca688fc455","10.31.88.44","01010001","管理员","2010/11/10 16:31:45","2010/11/10 16:38:47","","","","","","",""
"72","0ea46bcaeb554ada9337242bc905268d","0101","宝钢运输公司一号库","","","1.1.0.0429","1847CBC19EB3450","10.30.169.200","01010001","管理员","2010/11/18 11:49:14","2010/11/18 13:32:26","","","","","","",""
"73","2ffa77602f614305b76969efe8a05285","0101","宝钢运输公司一号库","","","1.1.0.0429","1847CBC19EB3450","10.30.169.200","01010001","管理员","2010/11/30 11:17:53","","","","","","","",""
"74","e2522936f81246bfb8bd477262d1bed3","0101","宝钢运输公司一号库","","","1.1.0.0432","1847CBC19EB3450","10.30.169.200","01010001","管理员","2010/11/30 11:27:18","2010/11/30 12:09:06","","","","","","",""
"75","7815a8b9ebea44f7bc04587d1a2840cb","0101","宝钢运输公司一号库","","","1.1.0.0432","68674ca688fc455","10.30.169.236","01010001","管理员","2010/11/30 12:54:29","2010/11/30 12:58:41","","","","","","",""
"76","82309e67727942b38d31b07e3d19fffd","0101","宝钢运输公司一号库","","","1.1.0.0432","68674ca688fc455","10.30.169.236","01010001","管理员","2010/11/30 11:23:19","2010/11/30 12:14:47","","","","","","",""
"77","caa114db9138420b8dec2f20058d5847","0101","宝钢运输公司一号库","","","1.1.0.0438","1847CBC19EB3450","10.30.169.231","01010001","管理员","2010/12/7 12:29:08","2010/12/7 12:31:17","","","","","","",""
"78","f3dd151b45b74e89a182a3222e3b9ae6","0101","宝钢运输公司一号库","","","1.1.0.0440","1847CBC19EB3450","10.30.169.200","01010001","管理员","2010/12/8 8:49:10","2010/12/8 10:40:10","","","","","","",""
"79","8f9892493c5c42859b23db024fbdf917","0101","宝钢运输公司一号库","","","1.1.0.0438","mjordan-PC","fe80::b49f:59e3:8ad5:2eaa%11","01010001","管理员","2010/12/3 9:47:21","2010/12/3 10:13:26","","","","","","",""
"80","1802c01cd6c24ffb92a58b566f25ebbe","0101","宝钢运输公司一号库","","","1.1.0.0440","mjordan-PC","fe80::b49f:59e3:8ad5:2eaa%11","01010001","管理员","2010/12/8 8:53:28","2010/12/8 9:01:53","","","","","","",""
